Timestep,Score
16000,-0.10000000000000142
32000,-0.10000000000000142
48000,-0.10000000000000142
64000,-0.10000000000000142
79840,-100.0
94608,-100.0
110608,-0.10000000000000142
121520,-100.0
128512,-100.0
137632,-100.0
147344,-100.0
161088,-100.0
177088,-0.10000000000000142
193088,-0.09999999999999964
209088,-0.10000000000000142
225088,-0.10000000000000142
241088,-0.10000000000000142
257088,-0.10000000000000142
273088,-0.10000000000000142
289088,-0.10000000000000142
305088,-0.10000000000000142
321088,-0.10000000000000142
337088,-0.10000000000000142
353088,-0.10000000000000142
369088,-0.10000000000000009
385088,-0.10000000000000142
401088,-0.10000000000000142
417088,-0.10000000000000142
433088,-0.10000000000000142
449088,-0.09999999999999964
465088,-0.10000000000000142
481088,-0.09999999999999432
497088,-0.09999999999999432
513088,-0.10000000000000142
529088,-0.09999999999999432
545088,-0.09999999999999432
561088,-0.09999999999999432
577088,-0.09999999999999964
593088,-0.09999999999999432
609088,-0.09999999999999432
625088,-0.09999999999999964
641088,-0.09999999999999964
657088,-0.09999999999999432
673088,-0.10000000000002274
689088,-0.09999999999999964
705088,-0.10000000000000142
721088,-0.09999999999999432
737088,-0.10000000000000142
753088,-0.09999999999999432
769088,-0.09999999999999432
785088,-0.09999999999999432
801088,-0.10000000000000142
817088,-0.10000000000000142
833088,-0.10000000000002274
849088,-0.09999999999999964
865088,-0.10000000000000142
881088,-0.09999999999999432
897088,-0.09999999999999432
913088,-0.09999999999999964
929088,-0.09999999999999432
945088,-0.09999999999999432
961088,-0.09999999999999432
977088,-0.10000000000000142
993088,-0.09999999999999432
1009088,-0.10000000000000142
1025088,-0.10000000000000142
1041088,-0.10000000000002274
1057088,-0.09999999999999432
1073088,-0.10000000000000142
1089088,-0.10000000000000142
1105088,-0.10000000000000142
1121088,-0.09999999999999432
1137088,-0.09999999999999964
1153088,-0.10000000000000142
1169088,-0.09999999999999432
1185088,-0.09999999999999432
1201088,-0.10000000000000142
1217088,-0.10000000000002274
1233088,-0.09999999999999432
1249088,-0.10000000000000142
1265088,-0.09999999999999432
1281088,-0.10000000000000142
1297088,-0.09999999999999964
1313088,-0.10000000000000142
1329088,-0.10000000000000142
1345088,-0.09999999999999432
1361088,-0.10000000000000142
1377088,-0.09999999999999432
1393088,-0.09999999999999432
1409088,-0.10000000000000142
1425088,-0.10000000000000142
1441088,-0.10000000000000142
1457088,-0.10000000000000142
1473088,-0.10000000000002274
1489088,-0.10000000000002274
1505088,-0.10000000000002274
1521088,-0.09999999999999964
1537088,-0.10000000000000142
1553088,-0.10000000000000142
1569088,-0.10000000000000142
1585088,-0.10000000000000142
1601088,-0.10000000000000142
1617088,-0.10000000000000142
1633088,-0.09999999999999432
1649088,-0.09999999999999432
1665088,-0.10000000000002274
1681088,-0.09999999999999964
1697088,-0.09999999999999432
1713088,-0.10000000000000142
1729088,3.4211267605633964
1745088,-0.09999999999999432
1761088,-0.10000000000000142
1777088,-0.09999999999999964
1793088,-0.09999999999999432
1809088,-0.09999999999999964
1825088,-0.10000000000000142
1841088,-0.10000000000002274
1857088,-0.09999999999999432
1873088,-0.09999999999999432
1889088,-0.09999999999999432
1905088,-0.09999999999999432
1921088,-0.10000000000000142
1937088,-0.10000000000002274
1953088,-0.09999999999999432
1969088,-0.09999999999999432
1985088,-0.09999999999999432
2001088,-0.09999999999999432
2017088,-0.10000000000002274
2033088,-0.09999999999999432
2049088,-0.10000000000002274
2065088,3.5496350364962836
2081088,-0.10000000000002274
2097088,-0.10000000000000142
2113088,-0.10000000000002274
2129088,-0.10000000000002274
2145088,-0.09999999999999432
2161088,-0.10000000000000142
2177088,-0.09999999999999432
2193088,-0.10000000000002274
2209088,-0.09999999999999432
2225088,-0.10000000000002274
2241088,-0.10000000000002274
2257088,-0.10000000000002274
2273088,-0.10000000000002274
2289088,-0.10000000000002274
2305088,-0.10000000000002274
2321088,-0.10000000000002274
2337088,-0.10000000000002274
2353088,-0.10000000000002274
2369088,-0.10000000000002274
2385088,-0.10000000000002274
2401088,-0.10000000000002274
2417088,-0.10000000000002274
2433088,-0.10000000000002274
2449088,-0.10000000000002274
2465088,-0.09999999999999432
2481088,-0.10000000000000142
2497088,-0.10000000000002274
2513088,-0.10000000000002274
2529088,-0.10000000000002274
2545088,-0.10000000000000142
2561088,-0.10000000000002274
2577088,-0.10000000000002274
2593088,-0.10000000000002274
2609088,-0.10000000000002274
2625088,-0.10000000000002274
2641088,-0.10000000000002274
2654240,-100.0
2670240,-0.10000000000000142
2686240,-0.10000000000002274
2702240,-0.10000000000002274
2718240,-0.10000000000002274
2734240,3.1467532467531782
2750240,-0.09999999999999432
2766240,-0.10000000000002274
2782240,-0.10000000000002274
2798240,2.7328611898017243
2814240,-0.09999999999999432
2830240,-0.10000000000002274
2846240,-0.10000000000002274
2862240,-0.10000000000002274
2878240,-0.10000000000002274
2894240,-0.10000000000002274
2910240,-0.10000000000002274
2926240,-0.10000000000002274
2942240,-0.10000000000002274
2958240,-0.10000000000002274
2974240,-0.10000000000002274
2990240,-0.10000000000002274
3006240,-0.10000000000002274
3022240,-0.10000000000002274
3038240,-0.10000000000002274
3054240,-0.10000000000002274
3070240,-0.10000000000002274
3086240,-0.10000000000002274
3102240,-0.10000000000002274
3118240,-0.10000000000002274
3134240,-0.10000000000002274
3150240,-0.10000000000002274
3166240,-0.10000000000002274
3182240,-0.10000000000002274
3198240,3.2557046979865163
3214240,-0.10000000000002274
3230240,-0.10000000000002274
3246240,-0.10000000000002274
3262240,-0.10000000000002274
3278240,-0.10000000000002274
3294240,-0.10000000000002274
3310240,-0.10000000000002274
3326240,-0.10000000000002274
3342240,-0.10000000000002274
3358240,-0.10000000000002274
3374240,-0.10000000000002274
3390240,-0.10000000000002274
3406240,-0.10000000000002274
3422240,-0.10000000000002274
3438240,-0.10000000000002274
3454240,-0.10000000000002274
3470240,-0.10000000000002274
3486240,-0.10000000000002274
3502240,-0.10000000000002274
3518240,-0.10000000000002274
3534240,-0.10000000000002274
3550240,-0.10000000000002274
3566240,-0.10000000000002274
3582240,-0.10000000000002274
3598240,3.2557046979865163
3614240,-0.10000000000002274
3630240,-0.10000000000002274
3646240,-0.10000000000002274
3662240,-0.10000000000002274
3678240,-0.10000000000002274
3694240,-0.10000000000002274
3710240,-0.10000000000002274
3726240,-0.10000000000002274
3742240,-0.10000000000002274
3758240,-0.10000000000002274
3763088,-100.0
3779088,-0.10000000000002274
3795088,-0.10000000000002274
3811088,-0.10000000000002274
3827088,-0.10000000000002274
3841888,3.1362459546925265
3857888,-0.10000000000002274
3873888,-0.10000000000002274
3889888,-0.10000000000002274
3905888,-0.10000000000002274
3921888,-0.10000000000002274
3937888,-0.10000000000002274
3953888,-0.10000000000002274
3969888,-0.10000000000002274
3985888,-0.10000000000002274
4001888,-0.10000000000002274
4017888,-0.10000000000002274
4033888,-0.10000000000002274
4049888,-0.10000000000002274
4065888,-0.10000000000002274
4081888,2.8585798816567944
4097888,-0.10000000000002274
4113888,-0.10000000000002274
4129888,-0.10000000000002274
4145888,-0.10000000000002274
4161888,-0.10000000000002274
4177888,-0.10000000000002274
4193888,-0.10000000000002274
4209888,-0.10000000000002274
4225888,-0.10000000000002274
4241888,-0.10000000000002274
4257888,-0.10000000000002274
4273888,-0.10000000000002274
4289888,-0.10000000000002274
4305888,-0.10000000000002274
4321888,-0.10000000000002274
4337888,-0.10000000000002274
4353888,-0.10000000000002274
4369888,-0.10000000000002274
4385888,2.7248587570621794
4401888,-0.10000000000002274
4417888,-0.10000000000002274
4433888,-0.10000000000002274
4449888,-0.10000000000002274
4465888,-0.10000000000002274
4481888,-0.09999999999999432
4497888,-0.10000000000002274
4513888,-0.10000000000002274
4529888,-0.10000000000002274
4545888,-0.10000000000002274
4561888,-0.10000000000002274
4577888,-0.10000000000002274
4593888,-0.10000000000002274
4609888,-0.10000000000002274
4625888,-0.10000000000002274
4641888,-0.10000000000002274
4657888,-0.10000000000002274
4673888,-0.10000000000002274
4689888,-0.10000000000002274
4705888,-0.10000000000002274
4721888,-0.10000000000002274
4737888,-0.10000000000002274
4753888,-0.10000000000002274
4769888,-0.10000000000002274
4785888,-0.10000000000002274
4801888,-0.10000000000002274
4817888,-0.09999999999999432
4833888,-0.10000000000002274
4849888,-0.10000000000002274
4865888,-0.10000000000002274
4881888,-0.10000000000002274
4897888,-0.10000000000002274
4913888,-0.10000000000002274
4929888,-0.10000000000002274
4945888,-0.10000000000002274
4961888,-0.10000000000002274
4977888,-0.10000000000002274
4993888,-0.10000000000002274
5009888,-0.10000000000002274
5025888,-0.10000000000002274
5041888,-0.10000000000002274
5057888,-0.10000000000002274
5073888,-0.10000000000002274
5089888,-0.10000000000002274
5105888,-0.10000000000002274
5121888,3.3602076124567475
5137888,-0.10000000000002274
5153888,2.9674846625766804
5169888,-0.10000000000002274
5185888,-0.10000000000002274
5201888,-0.09999999999999432
5217888,-0.10000000000002274
5233888,-0.10000000000002274
5249888,-0.10000000000002274
5258352,-100.0
